94,22,0.0,0.0,0.0,0.0
95,23,0.0,0.0,0.0,0.0
96,0,0.0,0.0,0.0,0.0
97,1,0.0,0.0,0.0,0.0
98,2,0.0,0.0,0.0,0.0
99,3,0.0,0.0,0.0,0.0
100,4,0.0,0.0,0.0,0.0
101,5,0.0,0.0,0.0,0.0
102,6,0.0,0.0,0.0,0.0
103,7,0.2,0.2,0.0,0.0
104,8,3.6,3.8,0.0,0.0
105,9,12.2,16.0,0.1,0.2
106,10,24.9,40.9,0.2,0.4
107,11,31.5,72.4,0.3,0.7
108,12,28.4,100.8,0.3,1.0
109,13,31.6,132.4,0.3,1.3
110,14,18.0,150.4,0.2,1.5
111,15,8.1,158.5,0.1,1.6
112,16,3.2,161.7,0.0,1.6
113,17,0.4,162.1,0.0,1.6
114,18,0.0,0.0,0.0,0.0
115,19,0.0,0.0,0.0,0.0
116,20,0.0,0.0,0.0,0.0
117,21,0.0,0.0,0.0,0.0
118,22,0.0,0.0,0.0,0.0
119,23,0.0,0.0,0.0,0.0
120,0,0.0,0.0,0.0,0.0
121,1,0.0,0.0,0.0,0.0
122,2,0.0,0.0,0.0,0.0
123,3,0.0,0.0,0.0,0.0
124,4,0.0,0.0,0.0,0.0
125,5,0.0,0.0,0.0,0.0
126,6,0.0,0.0,0.0,0.0
127,7,0.4,0.4,0.0,0.0
128,8,10.0,10.4,0.1,0.1
129,9,31.4,41.8,0.3,0.4
130,10,48.7,90.5,0.5,0.9
131,11,59.8,150.3,0.6,1.5
132,12,65.1,215.4,0.7,2.2
133,13,63.2,278.6,0.6,2.8
134,14,53.3,331.9,0.5,3.3
135,15,36.8,368.7,0.4,3.7
136,16,16.6,385.3,0.2,3.9
137,17,1.7,387.0,0.0,3.9
138,18,0.0,0.0,0.0,0.0
139,19,0.0,0.0,0.0,0.0
